Title,Original Language
ลูกอีสาน #1164,th
Bumi Manusia #521,id
광장 #553,ko
Noli Me Tangere - Part 1,fil
羊をめぐる冒険 #1185,ja
Anak Mat Lela Gila #929,ms
พระอภัยมณี #307,th
Merpati Putih Terbang Lagi #552,ms
海辺のカフカ #683,ja
Ranjau Sepanjang Jalan #148,ms
To Destroy You Is No Loss #288,km
Cambodia's Curse #1013,km
海辺のカフカ #383,ja
The Death of Vishnu #456,km
Never Fall Down #383,km
Cantik Itu Luka #91,id
破戒 #971,ja
광장 #153,ko
มัจจุราชเริงรำ #498,th
Menara #1139,ms
彷徨 #93,zh
คำพิพากษา #143,th
First They Killed My Father #641,km
彷徨 #1173,zh
ABNKKBSNPLAko?! #832,fil
Merpati Putih Terbang Lagi #852,ms
Hujan #1220,id
Merpati Putih Terbang Lagi #612,ms
Florante at Laura #203,fil
1Q84 #1182,ja
山月記 #779,ja
Panglima Awang #370,ms
阿Q正传 #415,zh
Gapo #1054,fil
呐喊 #852,zh
Hikayat Hang Tuah #561,ms
Banaag at Sikat #1104,fil
羊をめぐる冒険: Volume 5,ja
태백산맥 #308,ko
เสือคำราม #976,th
Ayah,id
Ranjau Sepanjang Jalan #828,ms
Rumah Kaca #444,id
รักไม่มีสิทธิ์ #159,th
Lelaki Harimau #712,id
รักไม่มีสิทธิ์ #579,th
Children of Cambodia's Killing Fields - Part 9,km
Cambodia's Curse #413,km
คำพิพากษา #463,th
The Death of Vishnu #536,km
태백산맥 #468,ko
소년이 온다 #482,ko
เลือดมังกร #112,th
Mat Jenin #774,ms
เสือคำราม,th
May Day Eve #700,fil
Ayah #196,id
Sulalat al-Salatin #1143,ms
ข้าหลวง: Volume 4,th
Smaller and Smaller Circles #829,fil
红楼梦 #126,zh
Luha ng Buwaya #325,fil
Siti Nurbaya (2004),ms
7년의 밤 #478,ko
白鹿原 #805,zh
무진기행 #114,ko
三国演义 #109,zh
活着 #902,zh
海辺のカフカ #603,ja
광장 #213,ko
Children of Cambodia's Killing Fields: Volume 4,km
Lucky Child #971,km
คนละฟากฟ้า #793,th
Footnote to Youth #138,fil
1Q84 #142,ja
아리랑 #1187,ko
삼대 #1031,ko
Ronggeng Dukuh Paruk #1070,id
El Filibusterismo #1162,fil
Lelaki Harimau #772,id
Perburuan #105,id
Supernova #338,id
Mga Kuwento ni Lola Basyang #211,fil
กุหลาบป่า #330,th
토지 #266,ko
Voices from S-21 #194,km
Mat Jenin #94,ms
Luha ng Buwaya #745,fil
Sa Mga Kuko ng Liwanag #1173,fil
Siti Nurbaya #665,ms
채식주의자 #141,ko
Cambodia's Curse #253,km
Atheis #808,id
ノルウェイの森 #781,ja
Luha ng Buwaya #1165,fil
走れメロス #578,ja
Survival in the Killing Fields #952,km
Little Princes #1238,km
Hikayat Hang Tuah #361,ms
金瓶梅 #1190,zh
아리랑 #1027,ko
Jejak Langkah #903,id
Bumi Manusia #461,id
Laskar Pelangi #194,id
เสือคำราม #296,th
Pulang #313,id
완득이 #619,ko
朝花夕拾 #671,zh
阿Q正传 #155,zh
Survival in the Killing Fields #152,km
三国演义 #649,zh
First They Killed My Father,km
엄마를 부탁해 #576,ko
Ang Paboritong Libro ni Hudas #430,fil
破戒 #311,ja
Rumah Kaca #364,id
흰 #565,ko
Belenggu #229,id
坊っちゃん #507,ja
破戒 #1071,ja
Anak Semua Bangsa #322,id
Salina #206,ms
Dead Stars #1197,fil
In the Shadow of the Banyan #1204,km
토지 #326,ko
山月記 #1079,ja
Footnote to Youth #898,fil
ลูกอีสาน #564,th
จดหมายจากหมาเบื่อ #841,th
เสือคำราม #656,th
Hang Jebat Menderhaka #557,ms
아리랑 #1087,ko
ABNKKBSNPLAko?! #1092,fil
Cinta di Dalam Gelas #1137,id
Anak Mat Lela Gila: Volume 4,ms
Siti Nurbaya #385,ms
Kekasih Electra #953,ms
First They Killed My Father #1121,km
金瓶梅 #690,zh
คนละฟากฟ้า #713,th
Pulang #333,id
ขุนช้างขุนแผน #1166,th
Noli Me Tangere #1041,fil
무진기행 #914,ko
토지 #126,ko
ข้าหลวง #614,th
When Broken Glass Floats #507,km
Pulang #1153,id
围城 #563,zh
Siti Nurbaya #946,id
Interlok #487,ms
坊っちゃん #327,ja
Atheis: Volume 3,id
呐喊 #992,zh
Survival in the Killing Fields #1072,km
红楼梦 #1026,zh
Penawar Bagi Hati #278,ms
Hujan #480,id
ข้าหลวง #774,th
Gapo #474,fil
คำพิพากษา #1023,th
A Cambodian Prison Portrait #535,km
红楼梦: Volume 1,zh
คำพิพากษา #643,th
朝花夕拾 #1151,zh
Sejarah Melayu #602,ms
仮面の告白 #1173,ja
엄마를 부탁해 #1116,ko
ノルウェイの森 #601,ja
白鹿原 #405,zh
Leftenan Adnan #1056,ms
Florante at Laura #423,fil
ノルウェイの森 #661,ja
羊をめぐる冒険 #1225,ja
Sa Mga Kuko ng Liwanag #1053,fil
活着 #242,zh
난장이가 쏘아올린 작은 공 #512,ko
When Broken Glass Floats #707,km
완득이 #459,ko
ABNKKBSNPLAko?! #492,fil
ศรีบูรพา #1049,th
红楼梦 #646,zh
ตำนานสมเด็จพระนารายณ์ #235,th
ノルウェイの森 #401,ja
May Day Eve - Part 10,fil
รักไม่มีสิทธิ์: Volume 4,th
삼대 #711,ko
Banaag at Sikat #1064,fil
เลือดมังกร #932,th
呐喊 #952,zh
In the Shadow of the Banyan #444,km
Gadis Jolobu #680,ms
엄마를 부탁해 #276,ko
西游记 #847,zh
こころ #766,ja
三体 - Part 1,zh
破戒 #91,ja
May Day Eve #1160,fil
Sulalat al-Salatin #983,ms
ขุนช้างขุนแผน #106,th
Lagenda Budak Setan #1175,ms
ข้าหลวง #914,th
Layar Terkembang - Part 7,id
เลือดมังกร #1172,th
ศรีบูรพา #189,th
白鹿原 #305,zh
Sang Pemimpi #695,id
春 #778,zh
人間失格,ja
Rice and Baguette #1240,km
Bumi Manusia #161,id
When Broken Glass Floats #1167,km
Salina #1166,ms
ลูกอีสาน #384,th
Ayah #976,id
Tenggelamnya Kapal Van Der Wijck #804,ms
"Stay Alive, My Son #1065",km
When Broken Glass Floats #527,km
Noli Me Tangere #441,fil
Ang Paboritong Libro ni Hudas #1050,fil
Mat Jenin #474,ms
Atheis - Part 8,id
ศรีบูรพา #769,th
Negeri 5 Menara #1059,id
活着 #942,zh
金瓶梅 #330,zh
Cambodia's Curse #933,km
围城 #363,zh
山月記 #479,ja
ชาติหน้าขอให้พบกัน #451,th
伊豆の踊子 #330,ja
상록수 - Part 10,ko
ศรีบูรพา #469,th
Luha ng Buwaya #845,fil
Ang Paboritong Libro ni Hudas #610,fil
우리들의 행복한 시간 #180,ko
To Destroy You Is No Loss #608,km
เลือดมังกร (2011),th
Belenggu #1069,id
Tenggelamnya Kapal Van Der Wijck #244,ms
狂人日记 #194,zh
ノルウェイの森 #421,ja
Tenggelamnya Kapal Van Der Wijck #684,ms
ลูกอีสาน #204,th
Lagenda Budak Setan #1215,ms
The Stones Cry Out #990,km
金瓶梅 #190,zh
Belenggu #249,id
To Destroy You Is No Loss #768,km
Penawar Bagi Hati #858,ms
ศรีบูรพา #529,th
Rice and Baguette #400,km
Penawar Bagi Hati #738,ms
Panglima Awang #1090,ms
彷徨 #353,zh
朝花夕拾 #471,zh
Atheis #888,id
Children of Cambodia's Killing Fields #749,km
金瓶梅 #890,zh
서울 1964년 겨울 #435,ko
Padre Faura Witness the Execution of Rizal #836,fil
ชาติหน้าขอให้พบกัน #871,th
작별인사 #523,ko
한강 #1004,ko
Siti Nurbaya #1026,id
水浒传 #188,zh
First They Killed My Father #401,km
광장,ko
Cinta di Dalam Gelas #397,id
소년이 온다 #562,ko
ชาติหน้าขอให้พบกัน - Part 1,th
ABNKKBSNPLAko?! #732,fil
Interlok #207,ms
Cinta di Dalam Gelas #1037,id
สุภาพบุรุษจุฑาเทพ #1017,th
มัจจุราชเริงรำ,th
金瓶梅 #570,zh
水浒传 #728,zh
Florante at Laura #343,fil
มัจจุราชเริงรำ #978,th
Merpati Putih Terbang Lagi #512,ms
ขุนช้างขุนแผน #1066,th
To Destroy You Is No Loss #988,km
서울 1964년 겨울 #415,ko
난장이가 쏘아올린 작은 공 #752,ko
채식주의자 #81,ko
ตำนานสมเด็จพระนารายณ์ #835,th
Cinta di Dalam Gelas #117,id
The Death of Vishnu #1056,km
Florante at Laura #723,fil
狂人日记 #1214,zh
Tenggelamnya Kapal Van Der Wijck #124,ms
엄마를 부탁해 #496,ko
坊っちゃん #407,ja
Gapo #634,fil
Little Princes #198,km
Siti Nurbaya,ms
รักไม่มีสิทธิ์ #199,th
7년의 밤 #618,ko
風の歌を聴け #564,ja
仮面の告白 #933,ja
คำพิพากษา #503,th
痴人の愛 #795,ja
May Day Eve #380,fil
阿Q正传 #295,zh
To Destroy You Is No Loss #968,km
ด้วยรักและผูกพัน #982,th
난장이가 쏘아올린 작은 공 #952,ko
Cantik Itu Luka #531,id
活着 #782,zh
May Day Eve #400,fil
Little Princes #218,km
ABNKKBSNPLAko?! #692,fil
Sulalat al-Salatin #1103,ms
Supernova #358,id
무정 #89,ko
ตำนานสมเด็จพระนารายณ์ #195,th
Sejarah Melayu #1122,ms
Cantik Itu Luka #311,id
Salina: Volume 1,ms
斜陽 #1077,ja
Anak Semua Bangsa #682,id
Ranjau Sepanjang Jalan #888,ms
작별인사 #1163,ko
The Lost Executioner #1162,km
平凡的世界 #804,zh
人間失格 #316,ja
เลือดมังกร #872,th
家 #417,zh
살인자의 기억법 #1217,ko
秋 #979,zh
채식주의자 #1001,ko
家 #1177,zh
Laskar Pelangi #274,id
Padre Faura Witness the Execution of Rizal #916,fil
平凡的世界 #104,zh
红楼梦 #886,zh
ชาติหน้าขอให้พบกัน #1051,th
Anak Semua Bangsa #102,id
สี่แผ่นดิน #885,th
三国演义 #789,zh
Leftenan Adnan #496,ms
活着 #882,zh
金瓶梅 #150,zh
Ayah #816,id
水浒传 #1208,zh
สุภาพบุรุษจุฑาเทพ #797,th
Sulalat al-Salatin #863,ms
Rice and Baguette #760,km
สี่แผ่นดิน: Volume 5,th
Tenggelamnya Kapal Van Der Wijck #1024,ms
상록수 #1090,ko
작별인사 #1243,ko
Rice and Baguette (2019),km
무정 #989,ko
Penawar Bagi Hati #598,ms
ด้วยรักและผูกพัน #742,th
Mat Jenin #974,ms
삼대 #1051,ko
1Q84 #642,ja
Jejak Langkah #923,id
เสือคำราม #696,th
金閣寺 #1072,ja
活着 #1162,zh
家 #1237,zh
Never Fall Down #323,km
한강 #124,ko
Panglima Awang #530,ms
Belenggu #1029,id
痴人の愛 #575,ja
Negeri 5 Menara #199,id
Sulalat al-Salatin #303,ms
Dekada '70 (2005),fil
Perburuan (2004),id
The Death of Vishnu #1096,km
ฟ้าใหม่ #500,th
Leftenan Adnan #356,ms
坊っちゃん #1087,ja
จดหมายจากหมาเบื่อ (2000),th
細雪 #1114,ja
El Filibusterismo #502,fil
山月記 #499,ja
Leftenan Adnan #156,ms
난장이가 쏘아올린 작은 공 #92,ko
สี่แผ่นดิน #405,th
ชาติหน้าขอให้พบกัน #331,th
Gadis Jolobu #360,ms
Luha ng Buwaya #665,fil
伊豆の踊子 #510,ja
Penawar Bagi Hati #998,ms
Cambodia's Curse #1213,km
Ranjau Sepanjang Jalan #408,ms
Siti Nurbaya #365,ms
The Death of Vishnu #516,km
Padre Faura Witness the Execution of Rizal #1116,fil
海辺のカフカ #1183,ja
Jejak Langkah #723,id
Ang Paboritong Libro ni Hudas #410,fil
朝花夕拾 #911,zh
อิเหนา #488,th
The Lost Executioner #962,km
Hang Jebat Menderhaka #1037,ms
1Q84 #1162,ja
Anak Mat Lela Gila #1109,ms
Survival in the Killing Fields #872,km
伊豆の踊子 #130,ja
Salina #386,ms
A Cambodian Prison Portrait #815,km
Little Princes #1078,km
First They Killed My Father #261,km
Penawar Bagi Hati #618,ms
서울 1964년 겨울 #835,ko
태백산맥 #548,ko
สี่แผ่นดิน #245,th
To Destroy You Is No Loss #668,km
細雪 #94,ja
Atheis #308,id
白鹿原 #1185,zh
First They Killed My Father #821,km
Cambodia's Curse #593,km
Hikayat Hang Tuah #541,ms
阿Q正传 #315,zh
活着 #142,zh
엄마를 부탁해 #636,ko
พระอภัยมณี #907,th
อิเหนา #928,th
Hang Jebat Menderhaka #717,ms
Cambodia's Curse #473,km
How My Brother Leon Brought Home a Wife #819,fil
Lagenda Budak Setan #895,ms
Dead Stars #457,fil
Padre Faura Witness the Execution of Rizal #816,fil
First They Killed My Father #661,km
ชาติหน้าขอให้พบกัน (2010),th
Cantik Itu Luka #1191,id
朝花夕拾: Volume 1,zh
"Stay Alive, My Son #685",km
Padre Faura Witness the Execution of Rizal #256,fil
아리랑 #1047,ko
서울 1964년 겨울 #935,ko
ฟ้าใหม่ #220,th
Ilustrado #1248,fil
태백산맥 #1148,ko
ศรีบูรพา #929,th
白鹿原 #245,zh
こころ - Part 6,ja
Sulalat al-Salatin,ms
Laskar Pelangi - Part 4,id
Layar Terkembang #867,id
The Lost Executioner #242,km
Sulalat al-Salatin #1063,ms
무정 #949,ko
Sang Pemimpi #95,id
Cinta di Dalam Gelas #1217,id
Pulang #753,id
태백산맥 #1168,ko
When Broken Glass Floats #747,km
สุภาพบุรุษจุฑาเทพ #1117,th
羊をめぐる冒険 #145,ja
The Gate #826,km
吾輩は猫である #188,ja
Voices from S-21 #994,km
Bumi Manusia #181,id
The Stones Cry Out #730,km
Rice and Baguette #120,km
완득이 #1119,ko
คำพิพากษา #983,th
羊をめぐる冒険 #985,ja
Gapo #794,fil
Penawar Bagi Hati #378,ms
風の歌を聴け #444,ja
Footnote to Youth #378,fil
ฟ้าใหม่ #420,th
細雪 #394,ja
Atheis #188,id
ข้าหลวง #434,th
จดหมายจากหมาเบื่อ #521,th
子夜 #876,zh
The Gate #1226,km
三国演义 #689,zh
ตำนานสมเด็จพระนารายณ์ #375,th
白鹿原 #1105,zh
The Death of Vishnu #696,km
朝花夕拾 #251,zh
Pulang #893,id
秋 #639,zh
รักไม่มีสิทธิ์ #919,th
The Stones Cry Out #550,km
ノルウェイの森 #701,ja
A Cambodian Prison Portrait #855,km
走れメロス #398,ja
Rice and Baguette,km
破戒 #151,ja
Little Princes #1038,km
Bamboo People #1117,km
海辺のカフカ #983,ja
아리랑 #707,ko
子夜 #476,zh
When Broken Glass Floats #407,km
Mat Jenin #354,ms
Kekasih Electra #413,ms
Lucky Child #751,km
Ranjau Sepanjang Jalan #1228,ms
Voices from S-21 #894,km
Perburuan #905,id
The Death of Vishnu #916,km
Siti Nurbaya #805,ms
How My Brother Leon Brought Home a Wife #1239,fil
Lucky Child #211,km
Smaller and Smaller Circles: Volume 4,fil
平凡的世界 #204,zh
Menara #719,ms
작별인사 #483,ko
May Day Eve #1020,fil
จดหมายจากหมาเบื่อ #421,th
7년의 밤 #798,ko
Layar Terkembang #107,id
Ang Paboritong Libro ni Hudas,fil
The Stones Cry Out #630,km
Bumi Manusia #701,id
흰 #785,ko
羊をめぐる冒険 #445,ja
海辺のカフカ #223,ja
Rumah Kaca #684,id
Penawar Bagi Hati #878,ms
Mga Ibong Mandaragit #1127,fil
斜陽 #977,ja
ABNKKBSNPLAko?! #1132,fil
斜陽 #657,ja
Hikayat Hang Tuah #241,ms
무정 #1249,ko
秋 #319,zh
กุหลาบป่า #430,th
Ilustrado #648,fil
Noli Me Tangere #401,fil
Lagenda Budak Setan #355,ms
舞姫 #1160,ja
朝花夕拾 #1211,zh
한강 #964,ko
朝花夕拾,zh
무진기행 #714,ko
Smaller and Smaller Circles #1229,fil
살인자의 기억법 #637,ko
Sang Pemimpi #115,id
Ayah #436,id
상록수 #790,ko
雪国 #1149,ja
斜陽 #377,ja
子夜 #316,zh
朝花夕拾 #731,zh
광장 #973,ko
Gapo #274,fil
작별인사 #263,ko
Cinta di Dalam Gelas #237,id
สุภาพบุรุษจุฑาเทพ: Volume 2,th
Perburuan #745,id
삼대 #1151,ko
ABNKKBSNPLAko?! #172,fil
서울 1964년 겨울 #295,ko
The Rosales Saga #855,fil
อิเหนา,th
Mat Jenin #1154,ms
Ayah #176,id
To Destroy You Is No Loss #588,km
우리들의 행복한 시간 #500,ko
子夜 #556,zh
Dead Stars #357,fil
สี่แผ่นดิน #1245,th
아리랑 #807,ko
Kekasih Electra (2012),ms
아리랑 (2006),ko
坊っちゃん #287,ja
Panglima Awang #330,ms
子夜 #1076,zh
서울 1964년 겨울,ko
ตำนานสมเด็จพระนารายณ์ #675,th
Banaag at Sikat #1124,fil
난장이가 쏘아올린 작은 공 #712,ko
Rice and Baguette #860,km
First They Killed My Father #361,km
รักไม่มีสิทธิ์ #719,th
Golden Bones #439,km
Mat Jenin #414,ms
Cambodia's Curse #273,km
家 #837,zh
Cinta di Dalam Gelas #657,id
こころ #386,ja
พระอภัยมณี #867,th
Footnote to Youth (2017),fil
흰 #205,ko
金閣寺 #812,ja
무진기행 #874,ko
Panglima Awang #590,ms
รักไม่มีสิทธิ์ #299,th
Atheis #1008,id
Cinta di Dalam Gelas #997,id
ABNKKBSNPLAko?! #152,fil
Layar Terkembang #947,id
Lagenda Budak Setan #995,ms
작별인사 #1083,ko
Lelaki Harimau #1132,id
秋 #499,zh
活着 #642,zh
Dead Stars #1057,fil
작별인사 #883,ko
สุภาพบุรุษจุฑาเทพ #117,th
Rumah Kaca #1004,id
Dead Stars #417,fil
To Destroy You Is No Loss #408,km
Perburuan #725,id
山月記 #299,ja
Sulalat al-Salatin #343,ms
Atheis #868,id
난장이가 쏘아올린 작은 공 #792,ko
คำพิพากษา #243,th
When Broken Glass Floats #867,km
Ranjau Sepanjang Jalan #1088,ms
ตำนานสมเด็จพระนารายณ์ #275,th
細雪 #1014,ja
金閣寺 #972,ja
Never Fall Down #423,km
Smaller and Smaller Circles (2008),fil
Mga Kuwento ni Lola Basyang #951,fil
The Death of Vishnu #556,km
Luha ng Buwaya #185,fil
Laskar Pelangi #154,id
A Cambodian Prison Portrait: Volume 5,km
Voices from S-21 #634,km
三国演义 #629,zh
ด้วยรักและผูกพัน #462,th
Leftenan Adnan #1156,ms
Negeri 5 Menara #1179,id
흰 #245,ko
엄마를 부탁해 #996,ko
When Broken Glass Floats - Part 7,km
Never Fall Down #363,km
Survival in the Killing Fields #972,km
红楼梦 #306,zh
金閣寺 #272,ja
吾輩は猫である #1068,ja
Sejarah Melayu #122,ms
Hikayat Hang Tuah #701,ms
山月記 - Part 9,ja
Laskar Pelangi #1154,id
Rice and Baguette #680,km
Padre Faura Witness the Execution of Rizal #216,fil
태백산맥 #768,ko
吾輩は猫である #1108,ja
ตำนานสมเด็จพระนารายณ์ #175,th
상록수 #1110,ko
Gadis Jolobu #1200,ms
When Broken Glass Floats #147,km
Voices from S-21 #94,km
Lucky Child #151,km
Ranjau Sepanjang Jalan (2007),ms
Sang Pemimpi #515,id
平凡的世界 #984,zh
Bumi Manusia #1241,id
Anak Semua Bangsa #502,id
토지 #1126,ko
Siti Nurbaya #1006,id
Hujan #520,id
Jejak Langkah #863,id
ABNKKBSNPLAko?! #1192,fil
仮面の告白 #1213,ja
The Death of Vishnu #1076,km
한강 #604,ko
Lelaki Harimau #432,id
Cinta di Dalam Gelas #857,id
呐喊 #932,zh
무정 #709,ko
เลือดมังกร #912,th
The Stones Cry Out #570,km
Golden Bones #1139,km
우리들의 행복한 시간 #640,ko
엄마를 부탁해 #356,ko
Anak Semua Bangsa #982,id
三体 #1021,zh
Gapo #514,fil
子夜 #216,zh
痴人の愛 #535,ja
ศรีบูรพา,th
細雪 #874,ja
坊っちゃん #1067,ja
El Filibusterismo #162,fil
A Cambodian Prison Portrait #275,km
The Rosales Saga #795,fil
엄마를 부탁해 #1096,ko
채식주의자 #301,ko
Belenggu #889,id
Little Princes #318,km
ノルウェイの森 #1241,ja
มัจจุราชเริงรำ #758,th
Cambodia's Curse #813,km
7년의 밤 #678,ko
金閣寺 #292,ja
"Stay Alive, My Son #445",km
How My Brother Leon Brought Home a Wife #779,fil
우리들의 행복한 시간 #1200,ko
斜陽 #1097,ja
Layar Terkembang #287,id
雷雨 #820,zh
ฟ้าใหม่ #140,th
เลือดมังกร #512,th
Bidasari #511,ms
Kekasih Electra #693,ms
活着 #562,zh
Bamboo People #1057,km
海辺のカフカ #943,ja
細雪 #1214,ja
สุภาพบุรุษจุฑาเทพ (2016),th
아리랑 #667,ko
Rice and Baguette #1220,km
Perburuan #865,id
Panglima Awang #970,ms
Gadis Jolobu #1100,ms
เลือดมังกร #472,th
Jejak Langkah #343,id
Kekasih Electra #473,ms
Sa Mga Kuko ng Liwanag #693,fil
仮面の告白 #1233,ja
삼대 #831,ko
斜陽 #917,ja
風の歌を聴け #544,ja
舞姫 - Part 10,ja
아리랑 #647,ko
엄마를 부탁해 #776,ko
토지 #706,ko
Noli Me Tangere #1021,fil
ชาติหน้าขอให้พบกัน #271,th
Perburuan #1185,id
金瓶梅 #170,zh
Rice and Baguette #440,km
Ronggeng Dukuh Paruk - Part 10,id
Ayah #96,id
엄마를 부탁해 #156,ko
金閣寺 #192,ja
삼대 #371,ko
Banaag at Sikat #904,fil
彷徨 #133,zh
羊をめぐる冒険 #345,ja
Pulang #933,id
三国演义 #429,zh
아리랑 #307,ko
朝花夕拾 #1031,zh
소년이 온다 #962,ko
ข้าหลวง #534,th
Cantik Itu Luka #451,id
채식주의자 #801,ko
狂人日记 #1034,zh
ลูกอีสาน #684,th
三国演义 #329,zh
จดหมายจากหมาเบื่อ #361,th
ขุนช้างขุนแผน #986,th
Cambodia's Curse #913,km
Golden Bones #719,km
ABNKKBSNPLAko?! #1072,fil
To Destroy You Is No Loss #268,km
El Filibusterismo #882,fil
Sulalat al-Salatin #763,ms
雷雨 #980,zh
Sang Pemimpi #1195,id
ขุนช้างขุนแผน #746,th
Smaller and Smaller Circles #609,fil
Voices from S-21 #1134,km
ศรีบูรพา #789,th
무정 #209,ko
Lelaki Harimau #1192,id
舞姫,ja
Survival in the Killing Fields #472,km
Salina #906,ms
Salina #366,ms
走れメロス #498,ja
Lucky Child #491,km
Ayah #476,id
ข้าหลวง #814,th
ABNKKBSNPLAko?! #132,fil
狂人日记 #974,zh
Mga Ibong Mandaragit #447,fil
Children of Cambodia's Killing Fields #929,km
呐喊 #152,zh
子夜 #956,zh
อิเหนา (2007),th
金閣寺 #652,ja
서울 1964년 겨울 #495,ko
난장이가 쏘아올린 작은 공 #772,ko
สุภาพบุรุษจุฑาเทพ #1177,th
ด้วยรักและผูกพัน #662,th
Interlok #1067,ms
Lelaki Harimau #992,id
Bidasari #331,ms
Panglima Awang #490,ms
มัจจุราชเริงรำ #118,th
彷徨 #273,zh
Hujan #200,id
광장 #293,ko
Footnote to Youth #238,fil
เสือคำราม #996,th
伊豆の踊子 #650,ja
Lelaki Harimau #1212,id
Noli Me Tangere #1081,fil
흰 #545,ko
Interlok #127,ms
Luha ng Buwaya #245,fil
ข้าหลวง #174,th
First They Killed My Father #1001,km
In the Shadow of the Banyan: Volume 4,km
อิเหนา #988,th
Siti Nurbaya #885,ms
狂人日记 #554,zh
Rice and Baguette #1020,km
삼대 #351,ko
The Lost Executioner #122,km
Leftenan Adnan #1016,ms
7년의 밤 #918,ko
呐喊 #532,zh
春 #898,zh
Sejarah Melayu #542,ms
Ranjau Sepanjang Jalan #1168,ms
The Stones Cry Out #1170,km
กุหลาบป่า #690,th
伊豆の踊子 #690,ja
Pulang #913,id
Perburuan: Volume 5,id
Lucky Child #671,km
ลูกอีสาน #1044,th
雷雨 #420,zh
พระอภัยมณี #1247,th
กุหลาบป่า #830,th
한강 #224,ko
Children of Cambodia's Killing Fields #1089,km
ตำนานสมเด็จพระนารายณ์ #1095,th
Gadis Jolobu #500,ms
คนละฟากฟ้า #953,th
Merpati Putih Terbang Lagi #372,ms
มัจจุราชเริงรำ #1018,th
Dekada '70 #186,fil
ลูกอีสาน #784,th
舞姫 #320,ja
상록수 #830,ko
ตำนานสมเด็จพระนารายณ์ #1215,th
รักไม่มีสิทธิ์ #779,th
仮面の告白 #573,ja
아리랑 #467,ko
Ranjau Sepanjang Jalan #728,ms
海辺のカフカ #303,ja
Rumah Kaca #164,id
破戒 #1231,ja
토지 #1086,ko
秋 #739,zh
Sa Mga Kuko ng Liwanag #893,fil
Gapo #714,fil
소년이 온다 #1102,ko
Menara #1059,ms
Menara #1039,ms
May Day Eve #600,fil
伊豆の踊子 #1250,ja
Children of Cambodia's Killing Fields #569,km
Rice and Baguette #800,km
완득이 #919,ko
The Lost Executioner #222,km
阿Q正传 #615,zh
Florante at Laura #703,fil
Footnote to Youth #398,fil
1Q84 #622,ja
Hujan #920,id
Jejak Langkah #803,id
Laskar Pelangi #994,id
Hujan #580,id
羊をめぐる冒険 #265,ja
Siti Nurbaya #286,id
Supernova,id
Gadis Jolobu #560,ms
走れメロス #458,ja
Lucky Child #331,km
三体 #601,zh
Ang Paboritong Libro ni Hudas #850,fil
こころ: Volume 1,ja
ノルウェイの森 #541,ja
무진기행 #534,ko
Luha ng Buwaya #605,fil
红楼梦 #226,zh
May Day Eve #520,fil
The Rosales Saga #1115,fil
When Broken Glass Floats #427,km
Mat Jenin #734,ms
Voices from S-21 #1014,km
The Rosales Saga #235,fil
Mat Jenin #634,ms
How My Brother Leon Brought Home a Wife #999,fil
こころ #326,ja
呐喊 #192,zh
平凡的世界,zh
Little Princes #158,km
活着 #702,zh
Lelaki Harimau #1012,id
破戒: Volume 1,ja
Merpati Putih Terbang Lagi #292,ms
Jejak Langkah #203,id
Ranjau Sepanjang Jalan #968,ms
Ilustrado #688,fil
Siti Nurbaya #765,ms
소년이 온다 #922,ko
红楼梦 #426,zh
ข้าหลวง #854,th
아리랑 #1207,ko
活着 #1022,zh
坊っちゃん #1127,ja
Florante at Laura #223,fil
อิเหนา #1228,th
Hikayat Hang Tuah #261,ms
채식주의자 #1221,ko
토지 #606,ko
三国演义 #349,zh
Voices from S-21 #274,km
살인자의 기억법 #577,ko
彷徨 #933,zh
ノルウェイの森 - Part 1,ja
家,zh
Sa Mga Kuko ng Liwanag #373,fil
Leftenan Adnan #1096,ms
Jejak Langkah #523,id
Kekasih Electra #573,ms
痴人の愛 #115,ja
ศรีบูรพา #1129,th
Supernova #398,id
The Death of Vishnu #336,km
Lucky Child #371,km
Cambodia's Curse #173,km
작별인사 #923,ko
무진기행 #674,ko
Lagenda Budak Setan #755,ms
Cambodia's Curse #993,km
คนละฟากฟ้า (2012),th
Cambodia's Curse #1033,km
Cantik Itu Luka #211,id
아리랑 #1007,ko
1Q84 #182,ja
Cantik Itu Luka #691,id
จดหมายจากหมาเบื่อ #201,th
Merpati Putih Terbang Lagi #412,ms
平凡的世界 #724,zh
รักไม่มีสิทธิ์ #619,th
Laskar Pelangi #754,id
Perburuan #385,id
ตำนานสมเด็จพระนารายณ์ #715,th
กุหลาบป่า #670,th
Anak Mat Lela Gila #1189,ms
家 #237,zh
吾輩は猫である #648,ja
こころ #586,ja
สี่แผ่นดิน #485,th
"Stay Alive, My Son #345",km
Penawar Bagi Hati #158,ms
ฟ้าใหม่ #660,th
เลือดมังกร #592,th
"Stay Alive, My Son #105",km
우리들의 행복한 시간 #1020,ko
Negeri 5 Menara #379,id
작별인사 #823,ko
태백산맥 #668,ko
완득이 #399,ko
Belenggu #89,id
Salina #1026,ms
走れメロス #1118,ja
Smaller and Smaller Circles #1149,fil
서울 1964년 겨울 #995,ko
태백산맥 #868,ko
광장 #1173,ko
How My Brother Leon Brought Home a Wife #899,fil
ด้วยรักและผูกพัน #642,th
朝花夕拾 #1111,zh
채식주의자 #901,ko
春 #538,zh
광장 #873,ko
สุภาพบุรุษจุฑาเทพ #757,th
走れメロス #618,ja
家 #1157,zh
Lagenda Budak Setan #615,ms
